sample_id,ena_run
AB0277-C,ERR338388
AB0278-C,ERR338402
AB0278-C,ERR327112
AB0278-C,ERR338390
AB0279-C,ERR323734
AB0279-C,ERR327212
AB0279-C,ERR327224
AB0280-Cx,ERR495808
AB0280-Cx,ERR502057
AB0280-Cx,ERR502153
AB0281-Cx,ERR495686
AB0281-Cx,ERR491202
AB0281-Cx,ERR501923
AB0282-Cx,ERR495473
AB0282-Cx,ERR491337
AB0282-Cx,ERR495485
AB0283-C,ERR327004
AB0283-C,ERR323754
AB0283-C,ERR327016
AB0284-C,ERR338379
AB0284-C,ERR327101
AB0284-C,ERR338391
AB0326-C,ERR1702362
AB0326-C,ERR1702398
AB0326-C,ERR1714034
AB0327-C,ERR1702363
AB0327-C,ERR1702399
AB0327-C,ERR1714035
AB0328-C,ERR1702364
AB0328-C,ERR1702400
AB0328-C,ERR1714036
AB0329-C,ERR1714037
AB0329-C,ERR1702365
AB0329-C,ERR1702401
AB0330-C,ERR1702366
AB0330-C,ERR1702402
AB0330-C,ERR1714038
AB0331-C,ERR1714039
AB0331-C,ERR1702367
AB0331-C,ERR1702403
AB0332-C,ERR1714040
AB0332-C,ERR1702368
AB0332-C,ERR1702404
AB0333-C,ERR1702369
AB0333-C,ERR1702405
AB0333-C,ERR1714041
AB0334-C,ERR1702370
AB0334-C,ERR1702406
AB0334-C,ERR1714042
AB0337-C,ERR1702407
AB0337-C,ERR1702371
AB0337-C,ERR1714043
AB0338-C,ERR1702372
AB0338-C,ERR1702408
AB0338-C,ERR1714044
AB0339-C,ERR1702409
AB0339-C,ERR1714045
AB0339-C,ERR1702373
AB0340-C,ERR1714046
AB0340-C,ERR1702410
AB0340-C,ERR1702374
AB0341-C,ERR1702375
AB0341-C,ERR1702411
AB0341-C,ERR1714047
AB0348-C,ERR1702376
AB0348-C,ERR1702412
AB0348-C,ERR1714048
AB0351-C,ERR1714050
AB0351-C,ERR1702414
AB0351-C,ERR1702378
AB0352-C,ERR1702379
AB0352-C,ERR1702415
AB0352-C,ERR1714051
AB0354-C,ERR1702380
AB0354-C,ERR1702416
AB0354-C,ERR1714052
AB0355-C,ERR1702417
AB0355-C,ERR1714053
AB0355-C,ERR1702381
AB0356-C,ERR1702382
AB0356-C,ERR1702418
AB0356-C,ERR1714054
AB0357-C,ERR1702383
AB0357-C,ERR1702419
AB0357-C,ERR1714055
AB0358-C,ERR1714056
AB0358-C,ERR1702420
AB0358-C,ERR1702384
AB0359-C,ERR1702385
AB0359-C,ERR1702421
AB0359-C,ERR1714057
AB0360-C,ERR1702386
AB0360-C,ERR1702422
AB0360-C,ERR1714058
AB0361-C,ERR1702423
AB0361-C,ERR1714059
AB0361-C,ERR1702387
AB0362-C,ERR1714060
AB0362-C,ERR1702388
AB0362-C,ERR1702424
AB0363-C,ERR1702389
AB0363-C,ERR1702425
AB0363-C,ERR1714061
AB0364-C,ERR1702390
AB0364-C,ERR1702426
AB0364-C,ERR1714062
AB0365-C,ERR1714063
AB0365-C,ERR1702427
AB0365-C,ERR1702391
AB0366-C,ERR1702392
AB0366-C,ERR1702428
AB0366-C,ERR1714064
AB0367-C,ERR1702393
AB0367-C,ERR1702429
AB0367-C,ERR1714065
AB0368-C,ERR1714066
AB0368-C,ERR1702430
AB0368-C,ERR1702394
AB0369-C,ERR1702395
AB0369-C,ERR1702431
AB0369-C,ERR1714067
AB0370-C,ERR1702396
AB0370-C,ERR1702432
AB0370-C,ERR1714068
AB0371-C,ERR1714069
AB0371-C,ERR1702433
AB0371-C,ERR1702397
AB0372-C,ERR1714070
AB0372-C,ERR1714106
AB0372-C,ERR1714142
AB0373-C,ERR1714071
AB0373-C,ERR1714107
AB0373-C,ERR1714143
AB0374-C,ERR1714144
AB0374-C,ERR1714108
AB0374-C,ERR1714072
AB0375-C,ERR1714073
AB0375-C,ERR1714109
AB0375-C,ERR1714145
AB0378-C,ERR1714074
AB0378-C,ERR1714110
AB0378-C,ERR1714146
AB0379-C,ERR1714147
AB0379-C,ERR1714111
AB0379-C,ERR1714075
AB0381-C,ERR1714076
AB0381-C,ERR1714112
AB0381-C,ERR1714148
AB0386-C,ERR1714077
AB0386-C,ERR1714113
AB0386-C,ERR1714149
AB0388-C,ERR1714150
AB0388-C,ERR1714114
AB0388-C,ERR1714078
AB0389-C,ERR1714079
AB0389-C,ERR1714115
AB0389-C,ERR1714151
AB0396-C,ERR1714080
AB0396-C,ERR1714116
AB0396-C,ERR1714152
AB0397-C,ERR1714153
AB0397-C,ERR1714117
AB0397-C,ERR1714081
AB0398-C,ERR1714082
AB0398-C,ERR1714118
AB0398-C,ERR1714154
AB0399-C,ERR1714083
AB0399-C,ERR1714119
AB0399-C,ERR1714155
AB0400-C,ERR1714120
AB0400-C,ERR1714156
AB0400-C,ERR1714084
AB0403-C,ERR1714121
AB0403-C,ERR1714157
AB0403-C,ERR1714085
AB0404-C,ERR1714086
AB0404-C,ERR1714122
AB0404-C,ERR1714158
AB0408-C,ERR1818496
AB0408-C,ERR1818472
AB0408-C,ERR1818520
AB0409-C,ERR1714160
AB0409-C,ERR1714124
AB0409-C,ERR1714088
AB0410-C,ERR1714089
AB0410-C,ERR1714161
AB0410-C,ERR1714125
AB0411-C,ERR1714090
AB0411-C,ERR1714126
AB0411-C,ERR1714162
AB0413-C,ERR1714163
AB0413-C,ERR1714091
AB0413-C,ERR1714127
AB0432-C,ERR1714092
AB0432-C,ERR1714128
AB0432-C,ERR1714164
AB0433-C,ERR1714093
AB0433-C,ERR1714129
AB0433-C,ERR1714165
AB0435-C,ERR1714094
AB0435-C,ERR1714130
AB0435-C,ERR1714166
AB0436-C,ERR1714131
AB0436-C,ERR1714095
AB0436-C,ERR1714167
AB0439-C,ERR1714132
AB0439-C,ERR1714168
AB0439-C,ERR1714096
AB0440-C,ERR1714097
AB0440-C,ERR1714133
AB0440-C,ERR1714169
AB0457-C,ERR1714098
AB0457-C,ERR1714134
AB0457-C,ERR1714170
AB0458-C,ERR1714099
AB0458-C,ERR1714135
AB0458-C,ERR1714171
AB0459-C,ERR1714172
AB0459-C,ERR1714136
AB0459-C,ERR1714100
AB0460-C,ERR1714101
AB0460-C,ERR1714137
AB0460-C,ERR1714173
AB0462-C,ERR1714174
AB0462-C,ERR1714102
AB0462-C,ERR1714138
AB0463-C,ERR1714103
AB0463-C,ERR1714139
AB0463-C,ERR1714175
AB0465-C,ERR1714104
AB0465-C,ERR1714140
AB0465-C,ERR1714176
AB0466-C,ERR1714105
AB0466-C,ERR1714141
AB0466-C,ERR1714177
AB0467-C,ERR1714178
AB0467-C,ERR1714214
AB0467-C,ERR1714250
AB0468-C,ERR1714251
AB0468-C,ERR1714215
AB0468-C,ERR1714179
AB0469-C,ERR1714216
AB0469-C,ERR1714252
AB0469-C,ERR1714180
AB0470-C,ERR1714181
AB0470-C,ERR1714217
AB0470-C,ERR1714253
AB0471-C,ERR1714182
AB0471-C,ERR1714218
AB0471-C,ERR1714254
AB0472-C,ERR1714183
AB0472-C,ERR1714219
AB0472-C,ERR1714255
AB0473-C,ERR1714184
AB0473-C,ERR1714256
AB0473-C,ERR1714220
AB0474-C,ERR1714185
AB0474-C,ERR1714221
AB0474-C,ERR1714257
AB0477-C,ERR1714258
AB0477-C,ERR1714186
AB0477-C,ERR1714222
